-1.115948,-1.115973,1.000000
-1.155982,-1.156007,2.000000
-1.117640,-1.117669,3.000000
-1.153519,-1.153548,4.000000
-1.137952,-1.137976,5.000000
-0.013234,-0.013263,6.000000
-0.053266,-0.053295,7.000000
-0.014926,-0.014959,8.000000
-0.035228,-0.035256,10.000000
-0.101427,-0.101463,11.000000
-0.141461,-0.141496,12.000000
-0.103119,-0.103159,13.000000
-0.139000,-0.139039,14.000000
-0.123428,-0.123464,15.000000
-0.050434,-0.050474,16.000000
-0.090466,-0.090505,17.000000
-0.052125,-0.052169,18.000000
-0.088004,-0.088048,19.000000
-0.072434,-0.072473,20.000000
-0.564594,-0.564621,21.000000
-0.604627,-0.604653,22.000000
-0.566286,-0.566317,23.000000
-0.602157,-0.602187,24.000000
-0.586586,-0.586612,25.000000
-0.564594,-0.564621,26.000000
-0.604627,-0.604653,27.000000
-0.566287,-0.566318,28.000000
-0.602161,-0.602191,29.000000
-0.586584,-0.586610,30.000000
-1.120311,-1.120338,31.000000
-1.160347,-1.160374,32.000000
-1.122006,-1.122037,33.000000
-1.157882,-1.157913,34.000000
-1.142315,-1.142342,35.000000
-0.017597,-0.017629,36.000000
-0.057631,-0.057662,37.000000
-0.019291,-0.019327,38.000000
-0.055166,-0.055201,39.000000
-0.039599,-0.039630,40.000000
-0.105790,-0.105829,41.000000
-0.145824,-0.145862,42.000000
-0.107482,-0.107525,43.000000
-0.143362,-0.143404,44.000000
-0.127791,-0.127828,45.000000
-0.054797,-0.054839,46.000000
-0.094829,-0.094871,47.000000
-0.056489,-0.056535,48.000000
-0.092365,-0.092411,49.000000
-0.568953,-0.568982,51.000000
-0.608990,-0.609019,52.000000
-0.570649,-0.570683,53.000000
-0.606521,-0.606553,54.000000
-0.590949,-0.590978,55.000000
-0.568956,-0.568986,56.000000
-0.570644,-0.570678,58.000000
-0.606524,-0.606557,59.000000
-0.590956,-0.590984,60.000000
-1.128660,-1.128688,61.000000
-1.168696,-1.168724,62.000000
-1.130355,-1.130387,63.000000
-1.166231,-1.166262,64.000000
-1.150662,-1.150690,65.000000
-0.025945,-0.025977,66.000000
-0.065980,-0.066012,67.000000
-0.027640,-0.027677,68.000000
-0.063519,-0.063555,69.000000
-0.114140,-0.114179,71.000000
-0.154173,-0.154212,72.000000
-0.115831,-0.115874,73.000000
-0.151712,-0.151754,74.000000
-0.136140,-0.136178,75.000000
-0.063146,-0.063189,76.000000
-0.103178,-0.103221,77.000000
-0.064838,-0.064885,78.000000
-0.100714,-0.100761,79.000000
-0.085146,-0.085188,80.000000
-0.577306,-0.577336,81.000000
-0.617339,-0.617369,82.000000
-0.578998,-0.579033,83.000000
-0.614870,-0.614903,84.000000
-0.599298,-0.599328,85.000000
-0.577306,-0.577336,86.000000
-0.617339,-0.617369,87.000000
-0.578994,-0.579028,88.000000
-0.614873,-0.614907,89.000000
-0.599303,-0.599332,90.000000
-1.164544,-1.164572,91.000000
-1.204577,-1.204605,92.000000
-1.166233,-1.166265,93.000000
-1.202113,-1.202144,94.000000
-1.186545,-1.186572,95.000000
-0.061826,-0.061858,96.000000
-0.101861,-0.101893,97.000000
-0.063522,-0.063558,98.000000
-0.099400,-0.099435,99.000000
-0.083821,-0.083852,100.000000
-0.150021,-0.150059,101.000000
-0.190054,-0.190092,102.000000
-0.151712,-0.151755,103.000000
-0.187590,-0.187632,104.000000
-0.172021,-0.172059,105.000000
-0.099028,-0.099070,106.000000
-0.139060,-0.139101,107.000000
-0.100720,-0.100766,108.000000
-0.136596,-0.136642,109.000000
-0.121030,-0.121072,110.000000
-0.613183,-0.613213,111.000000
-0.653220,-0.653249,112.000000
-0.614880,-0.614913,113.000000
-0.650751,-0.650783,114.000000
-0.635180,-0.635208,115.000000
-0.613187,-0.613217,116.000000
-0.653220,-0.653249,117.000000
-0.614879,-0.614913,118.000000
-0.650754,-0.650787,119.000000
-0.635184,-0.635212,120.000000
-1.148970,-1.148994,121.000000
-1.189004,-1.189028,122.000000
-1.150662,-1.150689,123.000000
-1.170973,-1.170996,125.000000
-0.046255,-0.046282,126.000000
-0.086290,-0.086317,127.000000
-0.047950,-0.047982,128.000000
-0.083828,-0.083859,129.000000
-0.068258,-0.068285,130.000000
-0.134450,-0.134484,131.000000
-0.174483,-0.174517,132.000000
-0.136142,-0.136180,133.000000
-0.172022,-0.172060,134.000000
-0.156451,-0.156485,135.000000
-0.083457,-0.083495,136.000000
-0.123493,-0.123531,137.000000
-0.085148,-0.085190,138.000000
-0.121025,-0.121067,139.000000
-0.105457,-0.105494,140.000000
-0.597612,-0.597637,141.000000
-0.637649,-0.637674,142.000000
-0.599308,-0.599338,143.000000
-0.635180,-0.635207,144.000000
-0.619609,-0.619633,145.000000
-0.597616,-0.597641,146.000000
-0.637649,-0.637674,147.000000
-0.599304,-0.599333,148.000000
-0.635183,-0.635212,149.000000
-0.619615,-0.619640,150.000000
